label,record_count_header,record_count_body,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26
VMA,768,1,-1.0,-1.0,0.00579833984375,0.0,0.60418701171875,0.009796142578125,-0.99609375,-0.8900146484375,0.00579833984375,0.0,0.0625,-0.850311279296875,-0.66998291015625,-0.999969482421875,0.165985107421875
VMB,1280,1,-0.99810791015625,-0.9512939453125,0.00189208984375,-0.1925048828125,0.60418701171875,0.00982666015625,-0.00390625,-0.676361083984375,0.40423583984375,-0.86614990234375,-0.8692626953125,-0.676483154296875,-0.58404541015625,-0.982330322265625,0.173797607421875
VMC,768,1,0.00579833984375,-1.0,0.9921875,0.0,0.60418701171875,0.009857177734375,0.99609375,-0.79681396484375,0.00579833984375,0.0,0.9921875,-0.79681396484375,0.00189208984375,-1.0,0.173797607421875
VMD,768,1,0.00189208984375,-0.680419921875,0.75189208984375,-0.1998291015625,0.60418701171875,0.0098876953125,0.48828125,-0.68072509765625,-0.50201416015625,-0.865966796875,0.7557373046875,-0.680419921875,0.58782958984375,-0.98516845703125,0.173797607421875
VMG,768,1,0.00579833984375,-1.0,0.5,0.7919921875,0.60418701171875,0.009979248046875,0.50390625,0.7919921875,0.00579833984375,0.0,0.5,0.7919921875,0.00189208984375,-1.0,0.080047607421875
VMF,768,1,-0.25,-1.0,0.00579833984375,0.0,0.60418701171875,0.00994873046875,-0.24609375,-0.896026611328125,0.00579833984375,0.0,-0.25,-0.896026611328125,0.00189208984375,-1.0,0.095672607421875
VMH,768,1,0.0,-1.0,0.005767822265625,0.839996337890625,0.60418701171875,0.010009765625,0.00390625,0.839996337890625,0.005767822265625,0.0,0.0,0.839996337890625,0.001861572265625,-1.0,0.033172607421875
VMI,768,1,-0.99420166015625,0.0489501953125,0.501861572265625,0.953399658203125,0.60418701171875,0.010040283203125,0.50390625,0.688140869140625,0.04486083984375,0.9144287109375,0.5057373046875,0.687835693359375,0.81439208984375,-0.999969482421875,0.095672607421875
VMJ,768,1,-0.375,-1.0,0.00579833984375,0.0,0.60418701171875,0.01007080078125,-0.37109375,-0.8740234375,0.00579833984375,0.0,-0.375,-0.8740234375,0.00189208984375,-1.0,0.165985107421875
VMK,768,1,0.00579833984375,-1.0,0.75,0.792388916015625,0.60418701171875,0.010101318359375,0.75390625,0.792388916015625,0.00579833984375,0.0,0.75,0.792388916015625,0.00189208984375,-1.0,0.048797607421875
VML,768,1,-0.36920166015625,-0.477996826171875,0.359375,0.573974609375,0.60418701171875,0.0101318359375,0.80859375,-0.47784423828125,0.00579833984375,0.0,0.796875,-0.47784423828125,-0.99810791015625,-0.985015869140625,0.165985107421875
VMM,768,1,-0.3125,-1.0,0.00579833984375,0.0,0.60418701171875,0.010162353515625,-0.30859375,-0.896026611328125,0.00579833984375,0.0,-0.3125,-0.896026611328125,-0.99810791015625,-0.985015869140625,0.126922607421875
VMN,768,1,-0.125,-1.0,0.00579833984375,0.0,0.60418701171875,0.01019287109375,-0.12109375,-0.91046142578125,0.00579833984375,0.0,-0.1328125,-0.91046142578125,0.14251708984375,-0.99993896484375,0.126922607421875
VMP,1280,1,0.0,-0.909759521484375,0.00189208984375,0.19915771484375,0.60418701171875,0.01025390625,-0.65234375,-0.754791259765625,0.09954833984375,0.9150390625,-0.5880126953125,-0.7510986328125,-0.37310791015625,-0.9849853515625,0.314422607421875
VMQ,768,1,0.0,-1.0,0.00579833984375,0.0,0.60418701171875,0.010284423828125,0.00390625,-0.90679931640625,0.00579833984375,0.0,0.0,-0.90679931640625,0.15032958984375,-0.99993896484375,0.181610107421875
VMR,768,1,-0.99420166015625,-0.972412109375,0.75,0.728790283203125,0.60418701171875,0.01031494140625,0.75390625,-0.972412109375,-0.99420166015625,-0.754791259765625,-0.83843994140625,-0.891448974609375,-0.56060791015625,-0.96112060546875,0.142547607421875
VMS,768,1,-1.0,0.0,0.630767822265625,0.823974609375,0.60418701171875,0.010345458984375,0.87890625,-0.916015625,0.00579833984375,0.0,0.875,-0.916015625,0.00189208984375,-1.0,0.064422607421875
VMT,768,1,-0.998291015625,0.3125,0.00189208984375,0.639678955078125,0.60418701171875,0.0103759765625,0.00390625,-0.8961181640625,0.03704833984375,0.9278564453125,-0.4942626953125,-0.895904541015625,0.62689208984375,-0.999969482421875,0.126922607421875
VMU,1280,1,-0.9942626953125,-0.8541259765625,0.00189208984375,0.911865234375,0.60418701171875,0.010406494140625,0.23828125,-0.851531982421875,0.00579833984375,0.911865234375,-0.7442626953125,-0.8541259765625,0.25189208984375,-0.99993896484375,0.126922607421875
VMV,768,1,-0.5,-1.0,0.63079833984375,0.704071044921875,0.60418701171875,0.01043701171875,0.38671875,-0.4779052734375,0.06048583984375,0.9188232421875,0.9510498046875,-0.47772216796875,0.62689208984375,-1.0,0.165985107421875
VMW,1280,1,-0.75,-0.93280029296875,0.00579833984375,0.0,0.60418701171875,0.010467529296875,-0.74609375,-0.688018798828125,0.00579833984375,0.0,-0.75,-0.688018798828125,0.00189208984375,-1.0,0.095672607421875
VMX,768,1,-0.25,-0.989959716796875,0.376800537109375,-0.1630859375,0.60418701171875,0.010498046875,0.40234375,-0.63623046875,0.65423583984375,0.924774169921875,0.5135498046875,-0.633026123046875,0.56439208984375,-1.0,0.228485107421875
VMY,768,1,0.00579833984375,-0.960205078125,0.3125,0.456024169921875,0.60418701171875,0.010528564453125,0.31640625,-0.960205078125,0.00579833984375,0.0,0.3125,-0.960205078125,0.00189208984375,-1.0,0.158172607421875
VMZ,1280,1,0.0,-0.6177978515625,0.005767822265625,0.9188232421875,0.60418701171875,0.01055908203125,0.62109375,-0.5732421875,-0.36920166015625,0.920135498046875,0.9979248046875,-0.590728759765625,0.02532958984375,-0.9849853515625,0.314422607421875
VM0,768,1,-0.056732177734375,0.0,0.005767822265625,0.999969482421875,0.60418701171875,0.00927734375,0.00390625,0.839996337890625,0.005767822265625,0.0,0.0,0.839996337890625,-0.060638427734375,0.999969482421875,0.033172607421875
VM1,768,1,-0.49420166015625,-0.9326171875,0.5859375,0.0,0.60418701171875,0.009307861328125,0.58984375,-0.9326171875,0.00579833984375,0.0,0.5859375,-0.9326171875,-0.90435791015625,-0.985015869140625,0.181610107421875
VM2,768,3,-1.0,-1.0,0.724517822265625,0.642486572265625,0.60418701171875,0.00933837890625,-0.99609375,-0.937103271484375,-0.72076416015625,0.916717529296875,0.8885498046875,-0.93682861328125,0.25970458984375,-0.98504638671875,0.314422607421875
VM3,768,1,0.001861572265625,-0.511993408203125,0.501861572265625,0.623992919921875,0.60418701171875,0.009368896484375,0.23828125,-0.667999267578125,0.00579833984375,0.0,0.234375,-0.667999267578125,-0.06060791015625,0.999969482421875,0.220672607421875
