label,tail,tail_bbox_min_x,tail_bbox_min_y,tail_bbox_max_x,tail_bbox_max_y,ref_bbox_min_x,ref_bbox_min_y,ref_bbox_max_x,ref_bbox_max_y,scale_x,scale_y,translate_x,translate_y,header_raw_0,header_f0,header_raw_1,header_f1,header_raw_2,header_f2,header_raw_3,header_f3,header_raw_4,header_f4,header_raw_5,header_f5,header_raw_6,header_f6,header_raw_7,header_f7,header_raw_8,header_f8,header_raw_9,header_f9,header_raw_10,header_f10,header_raw_11,header_f11,header_raw_12,header_f12,header_raw_13,header_f13,header_raw_14,header_f14,header_raw_15,header_f15,header_raw_16,header_f16,header_raw_17,header_f17,header_raw_18,header_f18,header_raw_19,header_f19,header_raw_20,header_f20,header_raw_21,header_f21,header_raw_22,header_f22,header_raw_23,header_f23,header_raw_24,header_f24,header_raw_25,header_f25,header_raw_26,header_f26,header_raw_27,header_f27
VMA,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.2654999494552612,0.0,0.26549994945526134,1.0148970947414235,0.6977658209962448,0.9978749717670308,1.4556529364662119e-06,0.017022122974392775,0,0.0,512,0.015625,0,0.0,-18432,-0.5625,6684,0.2039794921875,62,0.00189208984375,0,0.0,-25600,-0.78125,-30737,-0.938018798828125,62,0.00189208984375,0,0.0,0,0.0,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,321,0.009796142578125,-32640,-0.99609375,-29164,-0.8900146484375,190,0.00579833984375,0,0.0,2048,0.0625,-27863,-0.850311279296875,-21954,-0.66998291015625,-32767,-0.999969482421875,5439,0.165985107421875,768,0.0234375
VMB,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.2775001525878906,0.0,0.28741626429264594,1.0,0.7423341665933664,0.9832277350456603,0.004959604482128288,0.01677226495433972,0,0.0,512,0.015625,0,0.0,24576,0.75,9830,0.29998779296875,28862,0.88079833984375,25231,0.769989013671875,24639,0.751922607421875,9830,0.29998779296875,-24386,-0.74420166015625,1048,0.031982421875,63,0.001922607421875,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,322,0.00982666015625,-128,-0.00390625,-22163,-0.676361083984375,13246,0.40423583984375,-28382,-0.86614990234375,-28484,-0.8692626953125,-22167,-0.676483154296875,-19138,-0.58404541015625,-32189,-0.982330322265625,5695,0.173797607421875,1280,0.0390625
VMC,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.3309164047241212,-0.017629363687757638,0.33088350296020513,1.0176035910271817,0.8696449036394388,1.0178697533089964,-1.463666131334973e-05,-0.00026616228181470386,0,0.0,512,0.015625,0,0.0,24576,0.75,32239,0.983856201171875,16446,0.50189208984375,10156,0.3099365234375,-28610,-0.87310791015625,-22167,-0.676483154296875,-32706,-0.99810791015625,-21474,-0.65533447265625,61,0.001861572265625,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,323,0.009857177734375,32640,0.99609375,-26110,-0.79681396484375,190,0.00579833984375,0,0.0,32512,0.9921875,-26110,-0.79681396484375,62,0.00189208984375,-32768,-1.0,5695,0.173797607421875,768,0.0234375
VMD,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.3008002936840057,-5.551115123125783e-17,0.30079987645149237,1.0,0.7905388258780287,0.9832277350456603,1.440576249733816e-06,0.016772264954339665,0,0.0,512,0.015625,0,0.0,32256,0.984375,15938,0.48638916015625,28862,0.88079833984375,25231,0.769989013671875,32319,0.986297607421875,15938,0.48638916015625,-32578,-0.99420166015625,-5243,-0.160003662109375,61,0.001861572265625,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,324,0.0098876953125,16000,0.48828125,-22306,-0.68072509765625,-16450,-0.50201416015625,-28376,-0.865966796875,24764,0.7557373046875,-22296,-0.680419921875,19262,0.58782958984375,-32282,-0.98516845703125,5695,0.173797607421875,768,0.0234375
VMG,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.3295011520385744,-0.01763250787906473,0.3298978805541992,1.0144433975219727,0.8664900092923703,1.0147656548626611,0.00020017189683463332,-0.00032225734068847336,0,0.0,512,0.015625,0,0.0,-32768,-1.0,23566,0.71917724609375,62,0.00189208984375,-6548,-0.1998291015625,24638,0.75189208984375,-22296,-0.680419921875,62,0.00189208984375,-6548,-0.1998291015625,62,0.00189208984375,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,327,0.009979248046875,16512,0.50390625,25952,0.7919921875,190,0.00579833984375,0,0.0,16384,0.5,25952,0.7919921875,62,0.00189208984375,-32768,-1.0,2623,0.080047607421875,768,0.0234375
VMF,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.2239999771118164,0.0,0.2239999771118164,1.0,0.588698899013931,0.9832277350456603,1.2281216064391476e-06,0.01677226495433972,0,0.0,512,0.015625,0,0.0,-32768,-1.0,-8389,-0.256011962890625,189,0.005767822265625,0,0.0,16384,0.5,25952,0.7919921875,190,0.00579833984375,0,0.0,0,0.0,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,326,0.00994873046875,-8064,-0.24609375,-29361,-0.896026611328125,190,0.00579833984375,0,0.0,-8192,-0.25,-29361,-0.896026611328125,62,0.00189208984375,-32768,-1.0,3135,0.095672607421875,768,0.0234375
VMH,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.2760000228881836,0.0,0.2760000228881836,1.0,0.7253612776977479,0.9832277350456603,1.5132215451796327e-06,0.01677226495433972,0,0.0,512,0.015625,0,0.0,16384,0.5,9437,0.287994384765625,190,0.00579833984375,0,0.0,-8192,-0.25,-29361,-0.896026611328125,190,0.00579833984375,0,0.0,0,0.0,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,328,0.010009765625,128,0.00390625,27525,0.839996337890625,189,0.005767822265625,0,0.0,0,0.0,27525,0.839996337890625,61,0.001861572265625,-32768,-1.0,1087,0.033172607421875,768,0.0234375
VMI,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.057499885559082,0.0,0.057499885559082,1.0,0.1511166195573372,0.9832277350456603,3.152538349884826e-07,0.01677226495433972,0,0.0,512,0.015625,0,0.0,0,0.0,27525,0.839996337890625,61,0.001861572265625,0,0.0,0,0.0,27525,0.839996337890625,189,0.005767822265625,0,0.0,0,0.0,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,329,0.010040283203125,16512,0.50390625,22549,0.688140869140625,1470,0.04486083984375,29964,0.9144287109375,16572,0.5057373046875,22539,0.687835693359375,26686,0.81439208984375,-32767,-0.999969482421875,3135,0.095672607421875,768,0.0234375
VMJ,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.21101856231689453,-0.014956478793817118,0.2109804153442383,1.000042915344238,0.554532051157536,0.9979755553710773,-1.791664232073109e-05,0.0020673599731606297,1289,0.039337158203125,190,0.00579833984375,21648,0.66064453125,59,0.001800537109375,11854,0.36175537109375,190,0.00579833984375,-14902,-0.45477294921875,16444,0.5018310546875,22549,0.688140869140625,190,0.00579833984375,31241,0.953399658203125,61,0.001861572265625,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,330,0.01007080078125,-12160,-0.37109375,-28640,-0.8740234375,190,0.00579833984375,0,0.0,-12288,-0.375,-28640,-0.8740234375,62,0.00189208984375,-32768,-1.0,5439,0.165985107421875,768,0.0234375
VMK,"(0, 256, 0, 768)",-0.3805021643638611,-0.017058372497558594,0.3804979920387268,1.0,-0.2815003395080566,0.0,0.2815003395080566,1.0,0.7398167717567089,0.9832277350456603,1.543378055746114e-06,0.01677226495433972,0,0.0,512,0.015625,0,0.0,-8192,-0.25,10878,0.33197021484375,190,0.00579833984375,0,0.0,-12288,-0.375,-28640,-0.8740234375,190,0.00579833984375,0,0.0,0,0.0,0,0.0,256,0.0078125,0,0.0,768,0.0234375,19798,0.60418701171875,331,0.010101318359375,24704,0.75390625,25965,0.792388916015625,190,0.00579833984375,0,0.0,24576,0.75,25965,0.792388916015625,62,0.00189208984375,-32768,-1.0,1599,0.048797607421875,768,0.0234375
