"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"6:53:28.3226839 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 0, Length: 2, Priority: Normal"
"6:53:28.3227103 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 2, Length: 1"
"6:53:28.3227151 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 3, Length: 1"
"6:53:28.3227185 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 4, Length: 4"
"6:53:28.3227219 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 8, Length: 1"
"6:53:28.3227251 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 9, Length: 1"
"6:53:28.3227422 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 10, Length: 5"
"6:53:28.3227455 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 15, Length: 1"
"6:53:28.3227487 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 16, Length: 4"
"6:53:28.3227523 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 20, Length: 4"
"6:53:28.3227555 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 24, Length: 4"
"6:53:28.3227587 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 28, Length: 4"
"6:53:28.3228526 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 0, Length: 2, Priority: Normal"
"6:53:28.3228580 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 2, Length: 1"
"6:53:28.3228614 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 3, Length: 1"
"6:53:28.3228646 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 4, Length: 4"
"6:53:28.3228678 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 8, Length: 1"
"6:53:28.3228710 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 9, Length: 1"
"6:53:28.3228842 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 10, Length: 5"
"6:53:28.3228876 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 15, Length: 1"
"6:53:28.3228910 PM","MCPro9.exe","56540","ReadFile","C:\Dev\MCD_decode\old_style_mcd_files\TW84.mcd","SUCCESS","Offset: 16, Length: 4"
