"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"6:59:10.9207756 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 0, Length: 2, Priority: Normal"
"6:59:10.9207986 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 2, Length: 1"
"6:59:10.9208038 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 3, Length: 1"
"6:59:10.9208075 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 4, Length: 4"
"6:59:10.9208109 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 8, Length: 1"
"6:59:10.9208143 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 9, Length: 1"
"6:59:10.9208307 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 10, Length: 5"
"6:59:10.9208351 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 15, Length: 1"
"6:59:10.9208386 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 16, Length: 4"
"6:59:10.9208420 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 20, Length: 4"
"6:59:10.9208453 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 24, Length: 4"
"6:59:10.9208486 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 28, Length: 4"
"6:59:10.9209340 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 0, Length: 2, Priority: Normal"
"6:59:10.9209395 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 2, Length: 1"
"6:59:10.9209431 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 3, Length: 1"
"6:59:10.9209465 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 4, Length: 4"
"6:59:10.9209499 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 8, Length: 1"
"6:59:10.9209532 PM","MCPro9.exe","42736","ReadFile","C:\Dev\MCD_decode\new_style_mcd_files\TW84.mcd","SUCCESS","Offset: 9, Length: 1"
